,弹幕,vid
0,垃圾,000080
1,我的朋友小明一天7次,000075
2,前方截图预警,000074
3,哈哈哈哈哈,000077
4,我怀疑你老婆不吃你也不让别人老婆吃,000077
5,无事献殷勤非奸即盗,000082
6,希望大家兴高采烈的来提交数据前先查一下有没有重复！,000078
7,减肥晚饭吃点就行了，别吃多了,000077
8,复活甲,000079
9,帮王雅娴看下,000075
10,收藏比点赞的多,000078
11,4块,000080
12,加入了,000078
13,放屁,000074
14,大数据真可怕 我身边就有个这么狗的同事 天天人口普查,000082
15,哈哈哈哈,000074
16,都在认真上课吗，没有弹幕,000077
17,不是打探，是脑子进水了,000082
18,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000074
19,蹭蹭就怀孕了,000077
20,已经三连,000078
21,一天一次,000075
22,忍住别笑,000075
23,跟药水哥学，ta问一句你回一句   您呢？,000082
24,哈哈哈哈哈哈哈哈哈哈,000074
25,我朋友让我帮他看一下,000075
26,？？？,000077
27,我帮马亮看看,000075
28,新年快乐！,000078
29,别弄了，真心求别弄了，有些东西真的不能摆台面上，你这一整好多东西看不到了。,000078
30,关你屁事,000082
31,白嫖失败,000078
32,帮别人老婆看看,000077
33,顶,000078
34,三连了，希望坚持下去,000078
35,赞！！！,000078
36,说白了就是性冷淡,000077
37,支持,000078
38,github见,000078
39,版权问题怎么解决,000078
40,曲率引擎,000076
41,新年快乐,000071
42,公平,000078
43,我来更正一下，那叫卵细胞（不叫卵子）,000077
44,牛逼克拉斯,000077
45,自信点，咱们啥不能吃,000074
46,流速与压强,000076
47,哈哈哈哈哈哈哈哈,000074
48,两块一个，不能多了,000080
49,我帮陈鹏飞看看,000075
50,该冲海德冲,000075
51,一天一次，连续了10年了,000075
52,让弹幕逆走 ,000076
53,白嫖失败,000073
54,愈之勇者,000077
55,窒息……我有时候也会这么问别人，但真的只是闲聊好奇，以后不问了,000082
56,二楼是钓吧老哥吗？,000074
57,甜的那个小心糖尿病,000077
58,牛逼,000078
59,兆筱小分队,000078
60,哈哈哈,000080
61,我有个朋友,000077
62,好吃吗,000074
63,菲利克斯Feliks-菲神,000079
64,那我挺牛的,000075
65,不打死哈哈哈哈哈哈,000080
66,别会被撞的,000076
67,确实,000076
68,这个坚持个一两个月的坚持可笑死我了,000075
69,我就只关心这个好吃吗\^O^/,000074
70,能不能正经点,000080
71,白嫖失败,000073
72,听不懂,000076
73,你会直接被告，然后查封,000078
74,已投币,000073
75,能吃吗,000074
76,2块,000080
77,《坚持》,000075
78,牛逼,000078
79,看到这不能白嫖了,000073
80,那没事了,000074
81,感谢up！！,000078
82,一天一次你养生呢,000075
83,这也不一定，大天就能配出来,000074
84,你必有了,000078
85,哈哈哈,000073
86,早晚会出事啊,000081
87,我会重复一遍对方的问题～(￣▽￣～)~,000082
88,替朋友看,000075
89,可称其sci hub 精神 手动狗头,000078
90,BGM上,000079
91,666666,000078
92,我，想问一下，链接呢,000078
93,白嫖失败,000073
94,我头笑掉了哈哈哈哈,000077
95,不，我们很灵活的,000077
96,为啥只能投一枚,000073
97,哈哈哈哈哈哈哈哈哈,000074
98,感谢,000078
99,黄金曲率引擎,000076
100,娃娃鱼:WDNMD,000074
101,网课比老师讲的好，呜呜呜,000078
102,有病,000078
