,弹幕,vid
0,太有意思了,000500
1,。,000486
2,咕咕咕咕咕咕咕咕,000501
3,哈哈哈快笑美国 看看人家的生活成本,000520
4,好羡慕,000488
5,第一个弹幕～,000529
6,md真赚黑心钱,000512
7,我们这儿挺多的,000510
8,哈哈哈,000516
9,mashed potato,000522
10,有什么用？地皮费在那块，建房成本哪里都差不多，开发商总不能亏钱卖吧？,000521
11,？,000522
12,好顺畅,000486
13,冬泳怪鸽,000501
14,好，漂亮,000511
15,在坑亲捏婆,000490
16,没有,000497
17,bgm很有深意,000521
18,这路上车是真多,000507
19,欲纵故擒,000515
20,前面的，别搞笑了，刚才报的灯光只需要前置灯就行了，当然不需要动,000507
21,期待,000518
22,来了,000501
23,太眼熟了,000512
24,人们就会寻找另外一种衡量社会地位的标准,000491
25,一等功！,000513
26,50亿差不多，50万算个屁,000490
27,期待,000518
28,说选a的想啥呢？绝对是d啊,000496
29,好几个月就做了一分钟 辛苦了！！！！！！！,000487
30,重庆崩溃,000524
31,漂亮,000511
32,2,000520
33,有点硬核,000486
34,猝不及防,000524
35,哈哈哈哈哈哈,000519
36,是通过房地产吗,000491
37,白嫖失败,000487
38,明白了,000489
39,这个云南孩子见过,000512
40,等等再看，不着急买房,000521
41,鸽德地图,000501
42,美系脸,000487
43,好家伙,000486
44,这还得拔出来呢，更费劲,000513
45,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000527
46,小女孩唱的好,000495
47,222222,000520
48,蜥蜴,000490
49,白瞎了这个名字,000511
50,2:45,000486
51,夺笋啊,000512
52,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000487
53,因为人家宝马奔驰便宜,000498
54,《有一个朋友》,000515
55,脑子又空白了哈哈,000507
56,这是个心理游戏,000531
57,先把8小时落实了吧,000505
58,好家伙来真的,000502
59,跨列居中,000488
60,那又怎样？,000517
61,垫背钱,000500
62,一分钟,000529
63,woc战国青铜剑，这是要哪样,000493
64,尼玛,000490
65,哈哈哈哈哈哈,000501
66,我还不痛,000497
67,郑州跌了？一平方跌2K都没有,000521
68,还得以凌迟的方式处死，不然难以震慑其他人,000511
69,quan,000505
70,哈哈哈,000501
71,地图炮全家非洲昆仑奴,000511
72,笑拉了,000527
73,看来海南人是椰奶喝多了,000515
74,这莫非是长沙南门口那块儿的那家,000530
75,让我接招?直接把你手打断,000492
76,这是我的第一次下次一定,000514
77,nb！！！！！！,000487
78,哈哈哈哈哈哈哈哈哈,000487
79,这也太帅了,000510
80,又双叒叕,000520
81,是我,000529
82,洋月亮好圆哟,000498
