,弹幕,vid
0,我是遇到介绍显然配不上我的人我就特别恨,000021
1,小时候真的不懂这些对国家的利益，强军强国强民。祖国做到了,000027
2,哈哈哈哈哈,000023
3,因为我对这片土地爱的深沉,000027
4,盲猜小黄人,000028
5,赛 博 朋 克,000028
6,对对对,000021
7,致敬,000027
8,刘翔！,000027
9,战斗暴龙兽吗,000028
10,垃圾桶,000028
11,是曹德旺 谢谢,000024
12,不试试，怎么知道。,000021
13,这是属于脑子有病,000021
14,为什么总感觉在看3d呀，感觉不是现实画面,000028
15,必须行！,000027
16,在学校理解不了的概念陈老师讲就会很易懂！！,000022
17,开颅手术,000028
18,掀起你的头盖骨,000028
19,我就是有人给我介绍了一个在某局上班的 比我大将近10岁的人 ,000021
20,眼泪止不住了,000027
21,垃圾桶？,000028
22,上周的,000028
23,捡,000026
24,新白娘子里面的小青,000023
25,我部悍将刘三刀,000025
26,谢谢老师！,000022
27,2333,000022
28,《捡》,000026
29,电击小子中的路比？,000028
30,表白我的祖国,000027
31,前面说阿婆主发音河南味儿的，河南人表示没有嗷,000023
32,怎么山东口音还出来了呢,000023
33,真难过啊，现在看来依旧难过那么多的同胞没了,000027
34,新年快乐,000022
35,英文不是新加坡的母语 但是国语,000023
36,恭喜你发现宝藏,000023
37,垃圾桶,000028
38,小废铁,000028
39,hokkien是福建,000023
40,看了藏头诗啪的一下，很快啊，就过来了,000025
41,害怕,000028
42,R2?,000028
43,？,000026
44,啊 呵,000024
45,好hi帅啊,000023
46,确实带我看到了商业背后的本质，曹旺德是谁？,000024
47,母语啦,000023
48,老师新年快乐！,000022
49,假发郭冬临,000023
50,嗯……满满的铜锈味,000026
51,感谢老师,000022
52,听力有时候是英式口音，看美剧习惯的我真的是听不来,000023
53,就是,000021
54,哈哈哈哈哈哈哈哈哈,000022
55,致敬,000027
56,有点定格动画的味道,000028
57,翻盖垃圾桶就是发明？,000028
58,bgm 文明3,000027
59,你的中文不好,000023
60,手很有节奏,000025
61,杨老师来的猝不及防,000023
62,此生无悔入华夏,000027
63,小黄人,000028
64,小猪佩奇,000028
65,更好的是什么？俩人三观一致才重要吧，人还是得看清自己,000021
66,我瞎了,000028
67,我就被信任的同事摆了一道，从此跟她保持距离了,000021
68,客家移民,000023
69,我也是客家人,000023
