,弹幕,vid
0,卧槽,000468
1,25,000463
2,看不看无所谓，你买了就行,000457
3,小时候我也喜欢玩这个,000460
4,冲冲冲,000461
5,厉害！！！！！！,000457
6,这个项目，我王多鱼投了,000461
7,一年生几个？？？,000462
8,冲鸭,000461
9,蜗牛,000463
10,小时候太喜欢这种小兵人了,000460
11,水猴子,000457
12,买卖就好了，价钱便宜点呗,000466
13,这样讲目前这个世界会创造更多穷人,000464
14,我朋友刷了十年,000463
15,你怎么知道房价会涨,000466
16,我靠这么漂亮,000468
17,可可可可,000461
18,学废了,000467
19,一亿,000463
20,……,000458
21,还有这种纹的可不简单,000468
22,爷青回,000463
23,1,000456
24,无期？,000468
25,哈哈哈，那fan的你敢提,000456
26,小…小乐？,000458
27,只能使用夸克浏览器吗,000461
28,点图标是我了,000463
29,真的可以卡,000463
30,爷青回,000463
31,哈哈哈，那是我不懂所以没被骗过,000463
32,远古巨剑,000468
33,赫    卡    提    亚,000462
34,正反馈,000458
35,肤浅的形而上学人性论,000464
36,上初中那会儿刷钻还是很稳的 后来就销声匿迹了,000463
37,确实,000458
38,莉丝妲黛，哒么哒么哒么​,000465
39,哗能把我当充气人提起来,000462
40,实验楼,000461
41,上周的,000468
42,杰克船长,000462
43,100,000463
44,真实,000458
45,12人再看,000458
46,上周的？,000468
47,百分之二十？,000466
48,中枪,000458
49,还好我家没有房子,000466
50,绿 色 法 皇,000460
51,公证费抢钱啊,000466
52,就是我了,000463
53,好同志,000459
54,多谢大佬,000461
55,好哦好哦,000457
56,望诸位学习，不管任何时候，这句话是管用的,000464
57,学会啦～                                          ,000467
58,冰个赞成？冰个反对？,000456
59,这也超级qq 纪念图标我还有的，我记得这个业务是在我高二下线的，和QQ会员合并了,000463
60,第一次了解,000459
61,安对,000458
62,50,000463
63,让人生成为美妙的冒险,000460
64,水猴子,000457
65,我记得以前用的青果和这个差不多，不过我高中就没有了。。。,000461
66,"war,war never changes",000460
67,respect,000459
68,厉害了,000462
69,不，我不爱学习，。。。。,000456
70,保镖,000458
71,这个是真漂亮,000468
72,投了,000461
73,？？楼上是初中生？period不同语境意思不同啊,000467
74,直接写名字啊,000466
75,唉,000458
76,说穿了就是一个字 黑,000466
77,花刺代理,000463
78,我只羡慕这腿 说真的,000462
79,up主帮助我们up,000461
80,钢铁侠？,000460
81,1,000456
82,鉴宝之前建议去观摩一下真迹 网图也行啊,000469
83,惊呆了,000461
84,小时候没少拿来砍菜花吧,000468
85,这神经修复应该可以研究一下,000459
86,祝康复,000459
87,你们都猜错了，他是我老婆,000462
88,还是自己的问题！哈哈，其实是有钱人名额有限！,000464
89,可以，,000462
90,女帝,000459
91,所以以后少开玩笑，有的人真的反应不过来,000469
92,害怕,000462
93,湖北互联星空,000463
94,爷青回,000463
95,都会！？,000462
96,穷没被骗过,000463
97,50K,000469
98,这不是我吗,000458
99,都是我的,000456
100,火钳刘明,000460
101,感谢！！！,000461
102,直接卖房子给钱就行了,000466
103,亮亮凡,000457
104,牛,000460
105,卧槽,000468
106,强者的黑眼圈,000460
107,上周,000468
108,牛,000460
109,我还特意回来看了一下箭头是啥,000457
110,泪目,000460
111,卡盟，我还是站长级别的,000463
112,完成入股,000461
113,梦幻三胸弟,000462
114,买了，这书可以,000457
115,冲,000461
116,中枪,000458
117,山东潍坊也是,000463
118,我懂了，开始明抢了,000466
119,下次一定,000458
120,哈哈哈哈,000468
121,我老子的房给我我还要交钱？,000466
122,哈哈哈哈,000457
123,水猴子,000457
124,生下一个班,000462
125,13头身,000462
126,那么我可不可以用一块钱买下我父母的房子呢？,000466
127,这个我怕了,000462
128,资本的眼光更短,000464
129,哈哈哈哈，想起梵高的弟弟,000469
130,yabei！,000465
131,好好生活,000459
132,辛苦了,000459
133,上周的,000468
134,放下手机，就可以了,000458
135,俺（おれ）,000465
136,111111,000456
137,变相的遗产税不正常吗,000466
